KEY;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;X
dynamic-afar-culture-num1;Lastan;Lastan;Lastan;Lastan;Lastan;Lastan;Lastan;Lastan;Lastan;Lastan;Lastan;Lastan;Lastan;x
dynamic-al_suryah_arabic-culture-num1;Diyarmudaran;Diyarmudaran;Diyarmudaran;Diyarmudaran;Diyarmudaran;Diyarmudaran;Diyarmudaran;Diyarmudaran;Diyarmudaran;Diyarmudaran;Diyarmudaran;Diyarmudaran;Diyarmudaran;x
dynamic-al_suryah_arabic-culture-num2;Karbalan;Karbalan;Karbalan;Karbalan;Karbalan;Karbalan;Karbalan;Karbalan;Karbalan;Karbalan;Karbalan;Karbalan;Karbalan;x
dynamic-al_suryah_arabic-culture-num3;Sindhi-Palestinian;Sindhi-Palestinian;Sindhi-Palestinian;Sindhi-Palestinian;Sindhi-Palestinian;Sindhi-Palestinian;Sindhi-Palestinian;Sindhi-Palestinian;Sindhi-Palestinian;Sindhi-Palestinian;Sindhi-Palestinian;Sindhi-Palestinian;Sindhi-Palestinian;x
dynamic-al_suryah_arabic-culture-num4;Telugu-Palestinian;Telugu-Palestinian;Telugu-Palestinian;Telugu-Palestinian;Telugu-Palestinian;Telugu-Palestinian;Telugu-Palestinian;Telugu-Palestinian;Telugu-Palestinian;Telugu-Palestinian;Telugu-Palestinian;Telugu-Palestinian;Telugu-Palestinian;x
dynamic-andalucian-culture-num1;Qunkah;Qunkah;Qunkah;Qunkah;Qunkah;Qunkah;Qunkah;Qunkah;Qunkah;Qunkah;Qunkah;Qunkah;Qunkah;x
dynamic-armenian-greek-culture-num1;Armeno-Greek;Armeno-Greek;Armeno-Greek;Armeno-Greek;Armeno-Greek;Armeno-Greek;Armeno-Greek;Armeno-Greek;Armeno-Greek;Armeno-Greek;Armeno-Greek;Armeno-Greek;Armeno-Greek;x
dynamic-assamese-culture-num1;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;x
dynamic-assamese-culture-num2;Kamrupi-Burmese;Kamrupi-Burmese;Kamrupi-Burmese;Kamrupi-Burmese;Kamrupi-Burmese;Kamrupi-Burmese;Kamrupi-Burmese;Kamrupi-Burmese;Kamrupi-Burmese;Kamrupi-Burmese;Kamrupi-Burmese;Kamrupi-Burmese;Kamrupi-Burmese;x
dynamic-avadhi-culture-num1;Haritanakan;Haritanakan;Haritanakan;Haritanakan;Haritanakan;Haritanakan;Haritanakan;Haritanakan;Haritanakan;Haritanakan;Haritanakan;Haritanakan;Haritanakan;x
dynamic-avadhi-culture-num2;Naimisan;Naimisan;Naimisan;Naimisan;Naimisan;Naimisan;Naimisan;Naimisan;Naimisan;Naimisan;Naimisan;Naimisan;Naimisan;x
dynamic-bavarian-culture-num1;Regensburger;Regensburger;Regensburger;Regensburger;Regensburger;Regensburger;Regensburger;Regensburger;Regensburger;Regensburger;Regensburger;Regensburger;Regensburger;x
dynamic-bavarian-culture-num2;Bavaro-Carantanian;Bavaro-Carantanian;Bavaro-Carantanian;Bavaro-Carantanian;Bavaro-Carantanian;Bavaro-Carantanian;Bavaro-Carantanian;Bavaro-Carantanian;Bavaro-Carantanian;Bavaro-Carantanian;Bavaro-Carantanian;Bavaro-Carantanian;Bavaro-Carantanian;x
dynamic-bedouin_arabic-culture-num1;Beja-Bedouin;Beja-Bedouin;Beja-Bedouin;Beja-Bedouin;Beja-Bedouin;Beja-Bedouin;Beja-Bedouin;Beja-Bedouin;Beja-Bedouin;Beja-Bedouin;Beja-Bedouin;Beja-Bedouin;Beja-Bedouin;x
dynamic-bedouin_arabic-culture-num2;Jawf al-Yamanian;Jawf al-Yamanian;Jawf al-Yamanian;Jawf al-Yamanian;Jawf al-Yamanian;Jawf al-Yamanian;Jawf al-Yamanian;Jawf al-Yamanian;Jawf al-Yamanian;Jawf al-Yamanian;Jawf al-Yamanian;Jawf al-Yamanian;Jawf al-Yamanian;x
dynamic-bedouin_arabic-somali-culture-num1;Somali-Bedouin;Somali-Bedouin;Somali-Bedouin;Somali-Bedouin;Somali-Bedouin;Somali-Bedouin;Somali-Bedouin;Somali-Bedouin;Somali-Bedouin;Somali-Bedouin;Somali-Bedouin;Somali-Bedouin;Somali-Bedouin;x
dynamic-berber-fulani-culture-num1;Pulaar-Butr;Pulaar-Butr;Pulaar-Butr;Pulaar-Butr;Pulaar-Butr;Pulaar-Butr;Pulaar-Butr;Pulaar-Butr;Pulaar-Butr;Pulaar-Butr;Pulaar-Butr;Pulaar-Butr;Pulaar-Butr;x
dynamic-bolghar-culture-num1;Jalmatian;Jalmatian;Jalmatian;Jalmatian;Jalmatian;Jalmatian;Jalmatian;Jalmatian;Jalmatian;Jalmatian;Jalmatian;Jalmatian;Jalmatian;x
dynamic-bolghar-mordvin-culture-num1;Mordvino-Jalmatian;Mordvino-Jalmatian;Mordvino-Jalmatian;Mordvino-Jalmatian;Mordvino-Jalmatian;Mordvino-Jalmatian;Mordvino-Jalmatian;Mordvino-Jalmatian;Mordvino-Jalmatian;Mordvino-Jalmatian;Mordvino-Jalmatian;Mordvino-Jalmatian;Mordvino-Jalmatian;x
dynamic-bolghar-uralic-culture-num1;Permo-Jalmatian;Permo-Jalmatian;Permo-Jalmatian;Permo-Jalmatian;Permo-Jalmatian;Permo-Jalmatian;Permo-Jalmatian;Permo-Jalmatian;Permo-Jalmatian;Permo-Jalmatian;Permo-Jalmatian;Permo-Jalmatian;Permo-Jalmatian;x
dynamic-buryat-culture-num1;Kyzyl Chari;Kyzyl Chari;Kyzyl Chari;Kyzyl Chari;Kyzyl Chari;Kyzyl Chari;Kyzyl Chari;Kyzyl Chari;Kyzyl Chari;Kyzyl Chari;Kyzyl Chari;Kyzyl Chari;Kyzyl Chari;x
dynamic-buryat-kirgiz-culture-num1;Buryato-Kirghiz;Buryato-Kirghiz;Buryato-Kirghiz;Buryato-Kirghiz;Buryato-Kirghiz;Buryato-Kirghiz;Buryato-Kirghiz;Buryato-Kirghiz;Buryato-Kirghiz;Buryato-Kirghiz;Buryato-Kirghiz;Buryato-Kirghiz;Buryato-Kirghiz;x
dynamic-castillian-croatian-culture-num1;Croato-Castilian;Croato-Castilian;Croato-Castilian;Croato-Castilian;Croato-Castilian;Croato-Castilian;Croato-Castilian;Croato-Castilian;Croato-Castilian;Croato-Castilian;Croato-Castilian;Croato-Castilian;Croato-Castilian;x
dynamic-chihan-tangut-culture-num1;Sino-Tangut;Sino-Tangut;Sino-Tangut;Sino-Tangut;Sino-Tangut;Sino-Tangut;Sino-Tangut;Sino-Tangut;Sino-Tangut;Sino-Tangut;Sino-Tangut;Sino-Tangut;Sino-Tangut;x
dynamic-cosmopolitan_french-swabian-culture-num1;Rhinelander;Rhinelander;Rhinelander;Rhinelander;Rhinelander;Rhinelander;Rhinelander;Rhinelander;Rhinelander;Rhinelander;Rhinelander;Rhinelander;Rhinelander;x
dynamic-cuman-culture-num1;Mordvino-Cuman;Mordvino-Cuman;Mordvino-Cuman;Mordvino-Cuman;Mordvino-Cuman;Mordvino-Cuman;Mordvino-Cuman;Mordvino-Cuman;Mordvino-Cuman;Mordvino-Cuman;Mordvino-Cuman;Mordvino-Cuman;Mordvino-Cuman;x
dynamic-czech-culture-num1;Hungaro-Czech;Hungaro-Czech;Hungaro-Czech;Hungaro-Czech;Hungaro-Czech;Hungaro-Czech;Hungaro-Czech;Hungaro-Czech;Hungaro-Czech;Hungaro-Czech;Hungaro-Czech;Hungaro-Czech;Hungaro-Czech;x
dynamic-danish-highland_scottish-culture-num1;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;x
dynamic-dutch-irish-culture-num1;Batavo-Irish;Batavo-Irish;Batavo-Irish;Batavo-Irish;Batavo-Irish;Batavo-Irish;Batavo-Irish;Batavo-Irish;Batavo-Irish;Batavo-Irish;Batavo-Irish;Batavo-Irish;Batavo-Irish;x
dynamic-fon-mali-culture-num1;Ewe-Gur;Ewe-Gur;Ewe-Gur;Ewe-Gur;Ewe-Gur;Ewe-Gur;Ewe-Gur;Ewe-Gur;Ewe-Gur;Ewe-Gur;Ewe-Gur;Ewe-Gur;Ewe-Gur;x
dynamic-franconian-culture-num2;Namurian;Namurian;Namurian;Namurian;Namurian;Namurian;Namurian;Namurian;Namurian;Namurian;Namurian;Namurian;Namurian;x
dynamic-franconian-culture-num3;Goslarian;Goslarian;Goslarian;Goslarian;Goslarian;Goslarian;Goslarian;Goslarian;Goslarian;Goslarian;Goslarian;Goslarian;Goslarian;x
dynamic-gondi-culture-num1;Malvi-Gond;Malvi-Gond;Malvi-Gond;Malvi-Gond;Malvi-Gond;Malvi-Gond;Malvi-Gond;Malvi-Gond;Malvi-Gond;Malvi-Gond;Malvi-Gond;Malvi-Gond;Malvi-Gond;x
dynamic-greek-culture-num1;Kretan;Kretan;Kretan;Kretan;Kretan;Kretan;Kretan;Kretan;Kretan;Kretan;Kretan;Kretan;Kretan;x
dynamic-greek-culture-num2;Aromanian;Aromanian;Aromanian;Aromanian;Aromanian;Aromanian;Aromanian;Aromanian;Aromanian;Aromanian;Aromanian;Aromanian;Aromanian;x
dynamic-greek-culture-num3;Georgio-Greek;Georgio-Greek;Georgio-Greek;Georgio-Greek;Georgio-Greek;Georgio-Greek;Georgio-Greek;Georgio-Greek;Georgio-Greek;Georgio-Greek;Georgio-Greek;Georgio-Greek;Georgio-Greek;x
dynamic-hungarian-culture-num1;Gyorian;Gyorian;Gyorian;Gyorian;Gyorian;Gyorian;Gyorian;Gyorian;Gyorian;Gyorian;Gyorian;Gyorian;Gyorian;x
dynamic-italian-al_suryah_arabic-culture-num1;Levantine;Levantine;Levantine;Levantine;Levantine;Levantine;Levantine;Levantine;Levantine;Levantine;Levantine;Levantine;Levantine;x
dynamic-italian-culture-num1;Latia;Latia;Latia;Latia;Latia;Latia;Latia;Latia;Latia;Latia;Latia;Latia;Latia;x
dynamic-italian-franconian-culture-num1;Wiltberger-Cisalpine;Wiltberger-Cisalpine;Wiltberger-Cisalpine;Wiltberger-Cisalpine;Wiltberger-Cisalpine;Wiltberger-Cisalpine;Wiltberger-Cisalpine;Wiltberger-Cisalpine;Wiltberger-Cisalpine;Wiltberger-Cisalpine;Wiltberger-Cisalpine;Wiltberger-Cisalpine;Wiltberger-Cisalpine;x
dynamic-kannada-culture-num1;Rattapadi;Rattapadi;Rattapadi;Rattapadi;Rattapadi;Rattapadi;Rattapadi;Rattapadi;Rattapadi;Rattapadi;Rattapadi;Rattapadi;Rattapadi;x
dynamic-kannada-marathi-culture-num1;Maratha-Rattapadi;Maratha-Rattapadi;Maratha-Rattapadi;Maratha-Rattapadi;Maratha-Rattapadi;Maratha-Rattapadi;Maratha-Rattapadi;Maratha-Rattapadi;Maratha-Rattapadi;Maratha-Rattapadi;Maratha-Rattapadi;Maratha-Rattapadi;Maratha-Rattapadi;x
dynamic-kanuri-zaghawa-culture-num1;Sao-Zaghawa;Sao-Zaghawa;Sao-Zaghawa;Sao-Zaghawa;Sao-Zaghawa;Sao-Zaghawa;Sao-Zaghawa;Sao-Zaghawa;Sao-Zaghawa;Sao-Zaghawa;Sao-Zaghawa;Sao-Zaghawa;Sao-Zaghawa;x
dynamic-karelian-culture-num1;Bjarmo-Karelian;Bjarmo-Karelian;Bjarmo-Karelian;Bjarmo-Karelian;Bjarmo-Karelian;Bjarmo-Karelian;Bjarmo-Karelian;Bjarmo-Karelian;Bjarmo-Karelian;Bjarmo-Karelian;Bjarmo-Karelian;Bjarmo-Karelian;Bjarmo-Karelian;x
dynamic-kirgiz-culture-num1;Mugodzhari;Mugodzhari;Mugodzhari;Mugodzhari;Mugodzhari;Mugodzhari;Mugodzhari;Mugodzhari;Mugodzhari;Mugodzhari;Mugodzhari;Mugodzhari;Mugodzhari;x
dynamic-kirgiz-culture-num2;Sorokan;Sorokan;Sorokan;Sorokan;Sorokan;Sorokan;Sorokan;Sorokan;Sorokan;Sorokan;Sorokan;Sorokan;Sorokan;x
dynamic-kirgiz-culture-num3;Atamanskan;Atamanskan;Atamanskan;Atamanskan;Atamanskan;Atamanskan;Atamanskan;Atamanskan;Atamanskan;Atamanskan;Atamanskan;Atamanskan;Atamanskan;x
dynamic-mali-culture-num1;Gangarani;Gangarani;Gangarani;Gangarani;Gangarani;Gangarani;Gangarani;Gangarani;Gangarani;Gangarani;Gangarani;Gangarani;Gangarani;x
dynamic-mali-culture-num2;Malinke-Butr;Malinke-Butr;Malinke-Butr;Malinke-Butr;Malinke-Butr;Malinke-Butr;Malinke-Butr;Malinke-Butr;Malinke-Butr;Malinke-Butr;Malinke-Butr;Malinke-Butr;Malinke-Butr;x
dynamic-mali-dyola-culture-num1;Bobo-Kru;Bobo-Kru;Bobo-Kru;Bobo-Kru;Bobo-Kru;Bobo-Kru;Bobo-Kru;Bobo-Kru;Bobo-Kru;Bobo-Kru;Bobo-Kru;Bobo-Kru;Bobo-Kru;x
dynamic-mali-hausa-culture-num1;Hausa-Gur;Hausa-Gur;Hausa-Gur;Hausa-Gur;Hausa-Gur;Hausa-Gur;Hausa-Gur;Hausa-Gur;Hausa-Gur;Hausa-Gur;Hausa-Gur;Hausa-Gur;Hausa-Gur;x
dynamic-meshchera-culture-num1;Russo-Muroma;Russo-Muroma;Russo-Muroma;Russo-Muroma;Russo-Muroma;Russo-Muroma;Russo-Muroma;Russo-Muroma;Russo-Muroma;Russo-Muroma;Russo-Muroma;Russo-Muroma;Russo-Muroma;x
dynamic-mongol-culture-num1;Baibaliki;Baibaliki;Baibaliki;Baibaliki;Baibaliki;Baibaliki;Baibaliki;Baibaliki;Baibaliki;Baibaliki;Baibaliki;Baibaliki;Baibaliki;x
dynamic-mongol-uyghur-culture-num1;Gurbantünggütian-Mongol;Gurbantünggütian-Mongol;Gurbantünggütian-Mongol;Gurbantünggütian-Mongol;Gurbantünggütian-Mongol;Gurbantünggütian-Mongol;Gurbantünggütian-Mongol;Gurbantünggütian-Mongol;Gurbantünggütian-Mongol;Gurbantünggütian-Mongol;Gurbantünggütian-Mongol;Gurbantünggütian-Mongol;Gurbantünggütian-Mongol;x
dynamic-nogaybak-culture-num1;Kush-Muruni;Kush-Muruni;Kush-Muruni;Kush-Muruni;Kush-Muruni;Kush-Muruni;Kush-Muruni;Kush-Muruni;Kush-Muruni;Kush-Muruni;Kush-Muruni;Kush-Muruni;Kush-Muruni;x
dynamic-normand-culture-num1;Orleanaise;Orleanaise;Orleanaise;Orleanaise;Orleanaise;Orleanaise;Orleanaise;Orleanaise;Orleanaise;Orleanaise;Orleanaise;Orleanaise;Orleanaise;x
dynamic-nubian-culture-num1;Nubian-Palestinian;Nubian-Palestinian;Nubian-Palestinian;Nubian-Palestinian;Nubian-Palestinian;Nubian-Palestinian;Nubian-Palestinian;Nubian-Palestinian;Nubian-Palestinian;Nubian-Palestinian;Nubian-Palestinian;Nubian-Palestinian;Nubian-Palestinian;x
dynamic-oghuz-culture-num1;Kos-Buwaki;Kos-Buwaki;Kos-Buwaki;Kos-Buwaki;Kos-Buwaki;Kos-Buwaki;Kos-Buwaki;Kos-Buwaki;Kos-Buwaki;Kos-Buwaki;Kos-Buwaki;Kos-Buwaki;Kos-Buwaki;x
dynamic-oghuz-culture-num2;Zaghawo-Oghuz;Zaghawo-Oghuz;Zaghawo-Oghuz;Zaghawo-Oghuz;Zaghawo-Oghuz;Zaghawo-Oghuz;Zaghawo-Oghuz;Zaghawo-Oghuz;Zaghawo-Oghuz;Zaghawo-Oghuz;Zaghawo-Oghuz;Zaghawo-Oghuz;Zaghawo-Oghuz;x
dynamic-oghuz-culture-num3;Khwarezm;Khwarezm;Khwarezm;Khwarezm;Khwarezm;Khwarezm;Khwarezm;Khwarezm;Khwarezm;Khwarezm;Khwarezm;Khwarezm;Khwarezm;x
dynamic-ostyaki-culture-num1;Kyzylzharian;Kyzylzharian;Kyzylzharian;Kyzylzharian;Kyzylzharian;Kyzylzharian;Kyzylzharian;Kyzylzharian;Kyzylzharian;Kyzylzharian;Kyzylzharian;Kyzylzharian;Kyzylzharian;x
dynamic-ostyaki-culture-num2;Ishimian;Ishimian;Ishimian;Ishimian;Ishimian;Ishimian;Ishimian;Ishimian;Ishimian;Ishimian;Ishimian;Ishimian;Ishimian;x
dynamic-ostyaki-norse-culture-num1;Ishimian-Norse;Ishimian-Norse;Ishimian-Norse;Ishimian-Norse;Ishimian-Norse;Ishimian-Norse;Ishimian-Norse;Ishimian-Norse;Ishimian-Norse;Ishimian-Norse;Ishimian-Norse;Ishimian-Norse;Ishimian-Norse;x
dynamic-ostyaki-oghuz-culture-num1;Ostyako-Oghuz;Ostyako-Oghuz;Ostyako-Oghuz;Ostyako-Oghuz;Ostyako-Oghuz;Ostyako-Oghuz;Ostyako-Oghuz;Ostyako-Oghuz;Ostyako-Oghuz;Ostyako-Oghuz;Ostyako-Oghuz;Ostyako-Oghuz;Ostyako-Oghuz;x
dynamic-persian-tajik-oghuz-culture-num1;Perso-Tajiki-Oghuz;Perso-Tajiki-Oghuz;Perso-Tajiki-Oghuz;Perso-Tajiki-Oghuz;Perso-Tajiki-Oghuz;Perso-Tajiki-Oghuz;Perso-Tajiki-Oghuz;Perso-Tajiki-Oghuz;Perso-Tajiki-Oghuz;Perso-Tajiki-Oghuz;Perso-Tajiki-Oghuz;Perso-Tajiki-Oghuz;Perso-Tajiki-Oghuz;x
dynamic-russian_culture-culture-num1;Dorohoian;Dorohoian;Dorohoian;Dorohoian;Dorohoian;Dorohoian;Dorohoian;Dorohoian;Dorohoian;Dorohoian;Dorohoian;Dorohoian;Dorohoian;x
dynamic-russian_culture-romanian-culture-num1;Moldavian;Moldavian;Moldavian;Moldavian;Moldavian;Moldavian;Moldavian;Moldavian;Moldavian;Moldavian;Moldavian;Moldavian;Moldavian;x
dynamic-samoyed-vepsian-culture-num1;Bjarmo-Vepsian;Bjarmo-Vepsian;Bjarmo-Vepsian;Bjarmo-Vepsian;Bjarmo-Vepsian;Bjarmo-Vepsian;Bjarmo-Vepsian;Bjarmo-Vepsian;Bjarmo-Vepsian;Bjarmo-Vepsian;Bjarmo-Vepsian;Bjarmo-Vepsian;Bjarmo-Vepsian;x
dynamic-sapmi-culture-num1;Ubmejeiednuoan;Ubmejeiednuoan;Ubmejeiednuoan;Ubmejeiednuoan;Ubmejeiednuoan;Ubmejeiednuoan;Ubmejeiednuoan;Ubmejeiednuoan;Ubmejeiednuoan;Ubmejeiednuoan;Ubmejeiednuoan;Ubmejeiednuoan;Ubmejeiednuoan;x
dynamic-sapmi-samoyed-culture-num1;Sami-Bjarmian;Sami-Bjarmian;Sami-Bjarmian;Sami-Bjarmian;Sami-Bjarmian;Sami-Bjarmian;Sami-Bjarmian;Sami-Bjarmian;Sami-Bjarmian;Sami-Bjarmian;Sami-Bjarmian;Sami-Bjarmian;Sami-Bjarmian;x
dynamic-saxon-culture-num1;Wolgastian;Wolgastian;Wolgastian;Wolgastian;Wolgastian;Wolgastian;Wolgastian;Wolgastian;Wolgastian;Wolgastian;Wolgastian;Wolgastian;Wolgastian;x
dynamic-sidamo-culture-num1;Damoti;Damoti;Damoti;Damoti;Damoti;Damoti;Damoti;Damoti;Damoti;Damoti;Damoti;Damoti;Damoti;x
dynamic-sinhala-tamil-culture-num1;Sinhala-Tamil;Sinhala-Tamil;Sinhala-Tamil;Sinhala-Tamil;Sinhala-Tamil;Sinhala-Tamil;Sinhala-Tamil;Sinhala-Tamil;Sinhala-Tamil;Sinhala-Tamil;Sinhala-Tamil;Sinhala-Tamil;Sinhala-Tamil;x
dynamic-somali-culture-num1;Somali-Welayta;Somali-Welayta;Somali-Welayta;Somali-Welayta;Somali-Welayta;Somali-Welayta;Somali-Welayta;Somali-Welayta;Somali-Welayta;Somali-Welayta;Somali-Welayta;Somali-Welayta;Somali-Welayta;x
dynamic-sumpa-culture-num1;Garkung;Garkung;Garkung;Garkung;Garkung;Garkung;Garkung;Garkung;Garkung;Garkung;Garkung;Garkung;Garkung;x
dynamic-swedish-culture-num1;Swedo-French;Swedo-French;Swedo-French;Swedo-French;Swedo-French;Swedo-French;Swedo-French;Swedo-French;Swedo-French;Swedo-French;Swedo-French;Swedo-French;Swedo-French;x
dynamic-tajik-oghuz-culture-num1;Tajiki-Oghuz;Tajiki-Oghuz;Tajiki-Oghuz;Tajiki-Oghuz;Tajiki-Oghuz;Tajiki-Oghuz;Tajiki-Oghuz;Tajiki-Oghuz;Tajiki-Oghuz;Tajiki-Oghuz;Tajiki-Oghuz;Tajiki-Oghuz;Tajiki-Oghuz;x
dynamic-tangut-culture-num1;Ganzhou;Ganzhou;Ganzhou;Ganzhou;Ganzhou;Ganzhou;Ganzhou;Ganzhou;Ganzhou;Ganzhou;Ganzhou;Ganzhou;Ganzhou;x
dynamic-tibetan-chihan-culture-num1;Tibeto-Han;Tibeto-Han;Tibeto-Han;Tibeto-Han;Tibeto-Han;Tibeto-Han;Tibeto-Han;Tibeto-Han;Tibeto-Han;Tibeto-Han;Tibeto-Han;Tibeto-Han;Tibeto-Han;x
dynamic-tibetan-culture-num1;Gainlho;Gainlho;Gainlho;Gainlho;Gainlho;Gainlho;Gainlho;Gainlho;Gainlho;Gainlho;Gainlho;Gainlho;Gainlho;x
dynamic-tibetan-culture-num2;Nyingchi;Nyingchi;Nyingchi;Nyingchi;Nyingchi;Nyingchi;Nyingchi;Nyingchi;Nyingchi;Nyingchi;Nyingchi;Nyingchi;Nyingchi;x
dynamic-tibetan-culture-num3;Zêkog;Zêkog;Zêkog;Zêkog;Zêkog;Zêkog;Zêkog;Zêkog;Zêkog;Zêkog;Zêkog;Zêkog;Zêkog;x
dynamic-tibetan-kashmiri-culture-num1;Kashmiri-Bodpa;Kashmiri-Bodpa;Kashmiri-Bodpa;Kashmiri-Bodpa;Kashmiri-Bodpa;Kashmiri-Bodpa;Kashmiri-Bodpa;Kashmiri-Bodpa;Kashmiri-Bodpa;Kashmiri-Bodpa;Kashmiri-Bodpa;Kashmiri-Bodpa;Kashmiri-Bodpa;x
dynamic-tibetan-nepali-culture-num1;Himalayan;Himalayan;Himalayan;Himalayan;Himalayan;Himalayan;Himalayan;Himalayan;Himalayan;Himalayan;Himalayan;Himalayan;Himalayan;x
dynamic-uyghur-culture-num1;Gurbantünggütian;Gurbantünggütian;Gurbantünggütian;Gurbantünggütian;Gurbantünggütian;Gurbantünggütian;Gurbantünggütian;Gurbantünggütian;Gurbantünggütian;Gurbantünggütian;Gurbantünggütian;Gurbantünggütian;Gurbantünggütian;x
dynamic-uzbehk-culture-num1;Lepsinki;Lepsinki;Lepsinki;Lepsinki;Lepsinki;Lepsinki;Lepsinki;Lepsinki;Lepsinki;Lepsinki;Lepsinki;Lepsinki;Lepsinki;x
